City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,i-n-salah,27.1935,2.4607,28.51,21,0,6.56,DZ,Jun  8 2023
1,hamilton,39.1834,-84.5333,16.6,61,0,1.54,US,Jun  8 2023
2,tafuna,-14.3358,-170.72,26.97,94,100,3.09,AS,Jun  8 2023
3,tiksi,71.6872,128.8694,6.55,69,94,1.41,RU,Jun  8 2023
4,illizi,26.4833,8.4667,22.89,23,21,1.61,DZ,Jun  8 2023
5,puerto natales,-51.7236,-72.4875,0.93,89,100,1.09,CL,Jun  8 2023
6,edinburgh of the seven seas,-37.0676,-12.3116,15.1,83,61,11.3,SH,Jun  8 2023
7,aasiaat,68.7098,-52.8699,-4.64,88,69,2.32,GL,Jun  8 2023
8,guerrero negro,27.9769,-114.0611,15.9,79,86,7.07,MX,Jun  8 2023
9,dudinka,69.4058,86.1778,11.46,48,47,3.09,RU,Jun  8 2023
10,bandarbeyla,9.4942,50.8122,29.32,60,83,10.98,SO,Jun  8 2023
11,ushuaia,-54.8,-68.3,0.81,75,0,2.06,AR,Jun  8 2023
12,trashigang,27.3331,91.5542,32.02,36,91,3.05,BT,Jun  8 2023
13,west island,-12.1568,96.8225,25.99,89,75,6.69,CC,Jun  8 2023
14,adamstown,-25.066,-130.1015,21.64,64,2,3.05,PN,Jun  8 2023
15,borkum,53.5809,6.6915,12.19,83,0,5.04,DE,Jun  8 2023
16,tapes,-30.6733,-51.3958,17.9,85,96,1.41,BR,Jun  8 2023
17,fortuna,40.5982,-124.1573,13.85,93,100,2.57,US,Jun  8 2023
18,yuzhno-kurilsk,44.0306,145.8556,14.56,84,71,1.41,RU,Jun  8 2023
19,gemena,3.25,19.7667,21.12,98,83,0.24,CD,Jun  8 2023
20,ribeira grande,38.5167,-28.7,18.21,79,41,1.34,PT,Jun  8 2023
21,waitangi,-43.9535,-176.5597,11.01,85,39,3.72,NZ,Jun  8 2023
22,udachny,66.4167,112.4,14.14,47,77,2.87,RU,Jun  8 2023
23,invercargill,-46.4,168.35,8.19,83,2,0.73,NZ,Jun  8 2023
24,gizo,-8.103,156.8419,28.15,77,27,4.26,SB,Jun  8 2023
25,lihue,21.9789,-159.3672,26.77,73,20,5.14,US,Jun  8 2023
26,iqaluit,63.7506,-68.5145,1.85,93,100,0.0,CA,Jun  8 2023
27,blackmans bay,-43.0167,147.3167,14.29,86,100,1.52,AU,Jun  8 2023
28,yerofey pavlovich,53.9667,121.9667,17.45,71,92,4.43,RU,Jun  8 2023
29,ancud,-41.8697,-73.8203,13.61,86,100,15.17,CL,Jun  8 2023
30,port elizabeth,-33.918,25.5701,11.29,98,0,0.0,ZA,Jun  8 2023
31,bilibino,68.0546,166.4372,19.03,28,2,4.45,RU,Jun  8 2023
32,ulsteinvik,62.3432,5.8487,10.42,80,91,6.26,NO,Jun  8 2023
33,bethel,41.3712,-73.414,15.05,67,100,2.06,US,Jun  8 2023
34,naama,33.2667,-0.3167,23.63,34,38,9.6,DZ,Jun  8 2023
35,ilulissat,69.2167,-51.1,-0.99,80,100,1.54,GL,Jun  8 2023
36,kapuskasing,49.4169,-82.4331,11.05,50,20,3.09,CA,Jun  8 2023
37,anadyr,64.75,177.4833,11.28,66,40,4.0,RU,Jun  8 2023
38,vorgashor,67.5833,63.95,3.97,61,98,3.62,RU,Jun  8 2023
39,thompson,55.7435,-97.8558,22.09,78,40,0.0,CA,Jun  8 2023
40,pisco,-13.7,-76.2167,21.03,73,100,4.12,PE,Jun  8 2023
41,abuja,9.0574,7.4898,21.08,94,89,1.69,NG,Jun  8 2023
42,olonkinbyen,70.9221,-8.7187,1.39,93,100,4.29,SJ,Jun  8 2023
43,greymouth,-42.4667,171.2,8.33,71,0,0.73,NZ,Jun  8 2023
44,grytviken,-54.2811,-36.5092,2.34,98,100,2.8,GS,Jun  8 2023
45,mednogorsk,51.4128,57.595,17.8,50,78,3.09,RU,Jun  8 2023
46,palapye,-22.546,27.1251,13.47,72,0,2.34,BW,Jun  8 2023
47,belaya kholunitsa,58.84,50.8528,7.24,97,100,3.89,RU,Jun  8 2023
48,longyearbyen,78.2186,15.6401,4.91,65,20,7.72,SJ,Jun  8 2023
49,college,64.8569,-147.8028,23.1,42,75,3.6,US,Jun  8 2023
50,kralendijk,12.15,-68.2667,28.99,79,75,7.72,BQ,Jun  8 2023
51,felipe carrillo puerto,19.5833,-88.05,23.44,99,63,0.48,MX,Jun  8 2023
52,nikel,69.4128,30.222,5.1,59,78,5.37,RU,Jun  8 2023
53,san luis,-33.295,-66.3356,15.05,86,70,4.77,AR,Jun  8 2023
54,yellowknife,62.456,-114.3525,14.29,77,75,4.12,CA,Jun  8 2023
55,port-aux-francais,-49.35,70.2167,4.12,86,100,8.58,TF,Jun  8 2023
56,kargasok,59.0556,80.8572,31.28,35,100,5.82,RU,Jun  8 2023
57,fale old settlement,-9.3852,-171.2468,28.75,72,8,3.33,TK,Jun  8 2023
58,khandyga,62.6667,135.6,23.02,33,22,3.93,RU,Jun  8 2023
59,qaqortoq,60.7167,-46.0333,1.23,87,80,1.51,GL,Jun  8 2023
60,lebyazh'ye,55.2689,66.4947,17.64,56,75,6.8,RU,Jun  8 2023
61,kenai,60.5544,-151.2583,15.05,48,75,5.66,US,Jun  8 2023
62,susuman,62.7833,148.1667,15.6,41,92,1.78,RU,Jun  8 2023
63,urrugne,43.3636,-1.6992,24.82,47,0,2.57,FR,Jun  8 2023
64,nova sintra,14.8667,-24.7167,21.54,84,8,2.21,CV,Jun  8 2023
65,macheng,31.1783,115.0319,31.22,42,84,2.95,CN,Jun  8 2023
66,ribeira brava,32.65,-17.0667,21.51,90,17,5.91,PT,Jun  8 2023
67,albany,42.6001,-73.9662,11.87,86,100,2.24,US,Jun  8 2023
68,isafjordur,66.0755,-23.124,9.06,90,100,5.65,IS,Jun  8 2023
69,garachico,28.7781,-17.7646,19.06,83,75,1.54,ES,Jun  8 2023
70,ioannina,39.6675,20.8508,16.06,80,93,1.54,GR,Jun  8 2023
71,milford haven,51.7128,-5.0341,12.57,85,82,6.15,GB,Jun  8 2023
72,ubari,26.5921,12.7805,23.19,45,99,4.98,LY,Jun  8 2023
73,warrnambool,-38.3833,142.4833,14.49,73,66,8.8,AU,Jun  8 2023
74,alice springs,-23.7,133.8833,18.75,32,0,2.57,AU,Jun  8 2023
75,puerto ayora,-0.7393,-90.3518,24.75,94,97,0.45,EC,Jun  8 2023
76,utrik,11.2278,169.8474,27.57,83,91,8.01,MH,Jun  8 2023
77,touros,-5.1989,-35.4608,25.27,81,2,5.32,BR,Jun  8 2023
78,uturoa,-16.7333,-151.4333,26.49,71,28,10.04,PF,Jun  8 2023
79,malango,-2.9627,119.9001,28.19,53,20,2.14,ID,Jun  8 2023
80,tamandare,-8.7597,-35.1047,24.52,88,81,3.02,BR,Jun  8 2023
81,port mathurin,-19.6833,63.4167,24.87,71,1,8.01,MU,Jun  8 2023
82,whitehorse,60.7161,-135.0538,20.01,34,40,5.66,CA,Jun  8 2023
83,las vegas,36.175,-115.1372,24.69,32,0,8.23,US,Jun  8 2023
84,jwaneng,-24.6004,24.7303,12.74,46,35,2.91,BW,Jun  8 2023
85,olinda,-8.0089,-34.8553,24.85,94,75,2.06,BR,Jun  8 2023
86,jamestown,42.097,-79.2353,11.8,62,0,3.09,US,Jun  8 2023
87,ma'ili,21.4219,-158.1803,28.01,50,20,3.6,US,Jun  8 2023
88,pala,9.3642,14.9046,22.5,87,91,1.53,TD,Jun  8 2023
89,novodvinsk,64.4165,40.8122,9.62,51,87,2.45,RU,Jun  8 2023
90,nizhnesortymskiy,62.4397,71.7603,9.12,88,100,13.56,RU,Jun  8 2023
91,st. john's,47.5649,-52.7093,8.66,97,100,1.54,CA,Jun  8 2023
92,enewetak,11.3474,162.3373,27.97,80,80,6.55,MH,Jun  8 2023
93,arauca,7.0847,-70.7591,26.0,100,40,0.51,CO,Jun  8 2023
94,la'ie,21.6477,-157.9253,27.98,70,82,2.68,US,Jun  8 2023
95,salekhard,66.53,66.6019,9.5,45,86,2.7,RU,Jun  8 2023
96,chinju,35.1928,128.0847,26.9,50,100,2.59,KR,Jun  8 2023
97,hermanus,-34.4187,19.2345,17.11,79,74,8.73,ZA,Jun  8 2023
98,alakurtti,66.9672,30.3491,6.67,86,97,2.34,RU,Jun  8 2023
99,ciudad bolivar,8.1222,-63.5497,25.62,84,82,4.04,VE,Jun  8 2023
100,mejit,10.2753,170.8646,27.92,81,91,7.47,MH,Jun  8 2023
101,gunnedah,-30.9833,150.25,13.2,94,100,4.18,AU,Jun  8 2023
102,luderitz,-26.6481,15.1594,14.37,83,75,3.18,NA,Jun  8 2023
103,iskateley,67.6803,53.1512,4.7,54,97,3.82,RU,Jun  8 2023
104,harnosand,62.6323,17.9379,9.0,61,78,6.37,SE,Jun  8 2023
105,san patricio,28.017,-97.5169,27.92,76,25,2.85,US,Jun  8 2023
106,as sulayyil,20.4607,45.5779,30.14,14,17,0.99,SA,Jun  8 2023
107,flying fish cove,-10.4217,105.6791,25.82,83,75,6.69,CX,Jun  8 2023
108,colonia,50.9333,6.95,16.09,87,2,2.06,DE,Jun  8 2023
109,manoharpur,27.3,75.95,36.92,21,1,6.02,IN,Jun  8 2023
110,salina,38.8403,-97.6114,24.41,69,0,2.06,US,Jun  8 2023
111,talnakh,69.4865,88.3972,11.23,77,100,1.78,RU,Jun  8 2023
112,kodiak,57.79,-152.4072,8.73,93,100,3.6,US,Jun  8 2023
113,lazaro cardenas,17.9583,-102.2,26.91,78,33,1.32,MX,Jun  8 2023
114,vila franca do campo,37.7167,-25.4333,17.23,86,44,6.11,PT,Jun  8 2023
115,kerikeri,-35.2268,173.9474,15.51,77,32,1.34,NZ,Jun  8 2023
116,murghob,38.1702,73.9667,8.02,46,7,1.0,TJ,Jun  8 2023
117,bredasdorp,-34.5322,20.0403,11.48,88,6,3.07,ZA,Jun  8 2023
118,maintirano,-18.0667,44.0167,23.81,56,0,2.06,MG,Jun  8 2023
119,morehead city,34.7229,-76.726,19.44,87,100,3.6,US,Jun  8 2023
120,cabo san lucas,22.8909,-109.9124,26.61,63,6,5.97,MX,Jun  8 2023
121,skelleftea,64.7507,20.9528,9.2,61,0,4.63,SE,Jun  8 2023
122,aitape,-3.1374,142.3475,29.18,76,21,2.93,PG,Jun  8 2023
123,saipan,15.1355,145.701,30.39,100,20,8.23,MP,Jun  8 2023
124,rongelap,11.1635,166.8941,27.36,83,86,7.17,MH,Jun  8 2023
125,siquijor,9.2142,123.515,31.95,73,62,6.75,PH,Jun  8 2023
126,tobol,52.6844,62.5794,17.75,48,85,5.58,KZ,Jun  8 2023
127,bonthe,7.5264,-12.505,26.02,85,100,2.43,SL,Jun  8 2023
128,punta arenas,-53.15,-70.9167,-0.94,86,0,2.57,CL,Jun  8 2023
129,nantucket,41.2835,-70.0995,13.89,100,75,2.06,US,Jun  8 2023
130,gebeit,21.0667,36.3167,32.52,27,67,1.37,SD,Jun  8 2023
131,mwene-ditu,-7.0,23.45,19.02,59,2,0.91,CD,Jun  8 2023
132,northam,51.0333,-4.2167,12.92,87,49,7.15,GB,Jun  8 2023
133,smithers,54.7804,-127.1743,22.18,43,20,1.03,CA,Jun  8 2023
134,xining,36.6167,101.7667,21.3,27,96,1.45,CN,Jun  8 2023
135,vilyuchinsk,52.9306,158.4028,17.15,61,30,2.09,RU,Jun  8 2023
136,mukalla,14.5425,49.1242,30.91,73,28,2.75,YE,Jun  8 2023
137,galesong,-5.3166,119.3661,32.01,62,21,2.74,ID,Jun  8 2023
138,atafu village,-8.5421,-172.5159,28.77,72,18,3.32,TK,Jun  8 2023
139,harnoli,32.2792,71.5539,36.72,27,0,4.25,PK,Jun  8 2023
140,barabai,-2.5833,115.3833,34.01,45,32,0.36,ID,Jun  8 2023
141,hasaki,35.7333,140.8333,28.45,71,100,4.72,JP,Jun  8 2023
142,cururupu,-1.8283,-44.8683,23.07,98,45,1.21,BR,Jun  8 2023
